window,step_from_epoch,alpha,loss,delta_loss,relative_l2_error
W1,4369,0.015625,8.957016648179586e-05,-4.073637564352183e-06,0.012830790928857722
W1,4369,0.03125,8.563380604261616e-05,-8.009998003531891e-06,0.012421369493125984
W1,4369,0.0625,7.817285850340566e-05,-1.5470945542742383e-05,0.011605584099119036
W1,4369,0.125,6.489764969008477e-05,-2.8746154356063276e-05,0.009989712068653473
W1,4369,0.25,4.493070788630984e-05,-4.871309615983821e-05,0.006872140062960997
W1,4369,0.5,3.1304375008637706e-05,-6.233942903751034e-05,0.003309544750740008
W1,4369,1.0,0.00010906795911034304,1.5424155064194998e-05,0.014616407401455724
W2,4497,0.015625,8.420280450819393e-05,-4.424963085413594e-06,0.012745884290550173
W2,4497,0.03125,7.992941403943295e-05,-8.698353554174575e-06,0.012325583066380222
W2,4497,0.0625,7.183727419787992e-05,-1.67904933957276e-05,0.011487500438559454
W2,4497,0.125,5.747102042531738e-05,-3.115674716829014e-05,0.00982438503274818
W2,4497,0.25,3.60062908754919e-05,-5.262147671811562e-05,0.0065959805914558205
W2,4497,0.5,2.2113055078263046e-05,-6.651471251534448e-05,0.002991030692531224
W2,4497,1.0,0.00011018790372418812,2.1560136130580594e-05,0.015010520008649683
